Ensemble_id,Gene_name,GC_content
ENSG00000210049,MT-TF,40.85
ENSG00000211459,MT-RNR1,45.49
ENSG00000210077,MT-TV,42.03
ENSG00000210082,MT-RNR2,42.81
ENSG00000209082,MT-TL1,38.67
ENSG00000198888,MT-ND1,47.70
ENSG00000210100,MT-TI,28.99
ENSG00000210107,MT-TQ,48.61
ENSG00000210112,MT-TM,45.59
ENSG00000198763,MT-ND2,42.99
ENSG00000210117,MT-TW,35.29
ENSG00000210127,MT-TA,43.48
ENSG00000210135,MT-TN,41.10
ENSG00000210140,MT-TC,45.45
ENSG00000210144,MT-TY,42.42
ENSG00000198804,MT-CO1,46.24
ENSG00000210151,MT-TS1,49.28
ENSG00000210154,MT-TD,23.53
ENSG00000198712,MT-CO2,46.20
ENSG00000210156,MT-TK,32.86
ENSG00000228253,MT-ATP8,39.61
ENSG00000198899,MT-ATP6,44.20
ENSG00000198938,MT-CO3,46.56
ENSG00000210164,MT-TG,26.47
ENSG00000198840,MT-ND3,40.17
ENSG00000210174,MT-TR,23.08
ENSG00000212907,MT-ND4L,43.10
ENSG00000198886,MT-ND4,44.27
ENSG00000210176,MT-TH,36.23
ENSG00000210184,MT-TS2,45.76
ENSG00000210191,MT-TL2,35.21
ENSG00000198786,MT-ND5,44.92
ENSG00000198695,MT-ND6,42.67
ENSG00000210194,MT-TE,39.13
ENSG00000198727,MT-CYB,46.28
ENSG00000210195,MT-TT,37.88
ENSG00000210196,MT-TP,33.82
ENSG00000299200,,43.69
ENSG00000308964,,40.72
ENSG00000303867,,38.53
ENSG00000271254,,44.36
ENSG00000278625,U6,35.85
ENSG00000278704,,47.38
ENSG00000297432,,34.55
ENSG00000297449,,31.56
ENSG00000299314,,35.66
ENSG00000303902,,39.84
ENSG00000277630,,36.73
ENSG00000278457,5S_rRNA,58.82
ENSG00000278573,,43.73
ENSG00000298469,,47.36
ENSG00000306528,,36.49
ENSG00000295160,,41.86
ENSG00000296348,,36.40
ENSG00000277400,,45.63
ENSG00000307824,,34.73
ENSG00000306901,,58.63
ENSG00000278633,,60.44
